City,Country,Temperature,Humidity,Cloudiness,Windspeed,Latitude,Longitude,Date
Guerrero Negro,MX,79.12,58,90,14.45,27.9769,-114.0611,1626131143
Ugoofaaru,MV,82.09,78,98,14.41,5.6667,73.0,1626131143
Nikolayevsk-on-Amur,RU,68.4,93,100,1.83,53.1406,140.73,1626131143
Araouane,ML,96.76,14,6,3.4,18.9048,-3.5265,1626131144
Fonte Boa,BR,73.81,97,67,2.01,-2.4959,-66.2662,1626131144
Kenai,US,63.03,77,90,3.44,60.5544,-151.2583,1626131144
Tamiahua,MX,84.63,67,99,10.74,21.2667,-97.45,1626131144
Arosa,CH,56.75,87,51,8.7,46.7779,9.6762,1626131145
Ponta do Sol,PT,72.12,72,96,10.92,32.6667,-17.1,1626131145
Najrān,SA,83.62,19,93,4.36,17.4924,44.1277,1626131145
Malanje,AO,62.85,24,100,1.57,-9.5402,16.341,1626131146
Okato,NZ,50.41,63,58,9.1,-39.2,173.8833,1626131146
George Town,MY,79.9,87,20,0.0,5.4112,100.3354,1626131146
Ahipara,NZ,54.48,66,100,16.62,-35.1667,173.1667,1626131147
Vostok,RU,76.12,66,2,0.54,46.4856,135.8833,1626131147
Quelimane,MZ,64.35,88,0,0.0,-17.8786,36.8883,1626131148
Cayenne,GF,82.09,83,0,3.0,4.9333,-52.3333,1626131148
Karratha,AU,71.65,92,40,6.55,-20.7377,116.8463,1626131148
Clyde River,CA,48.42,68,100,0.69,70.4692,-68.5914,1626131149
Rochegda,RU,61.95,98,84,1.72,62.8,43.25,1626131149
Severo-Kuril'sk,RU,54.7,88,82,8.48,50.6789,156.125,1626131147
Aklavik,CA,77.56,26,84,10.02,68.2191,-135.0107,1626131149
Husavik,IS,59.04,70,56,7.56,66.0449,-17.3389,1626131150
Codrington,AU,50.18,93,100,11.52,-38.2667,141.9667,1626131150
Ovsyanka,RU,61.77,78,96,1.57,55.9575,92.5519,1626131150
Gazojak,TM,82.74,25,2,2.35,41.1875,61.4036,1626131151
Sovetskaya Gavan',RU,68.0,89,47,4.0,48.9723,140.2878,1626131151
Ridgecrest,US,116.46,9,20,1.01,35.6225,-117.6709,1626131151
Torbay,CA,63.75,90,75,14.97,47.6666,-52.7314,1626131137
Trois-Rivières,CA,79.83,59,100,6.2,46.3501,-72.5491,1626131112
Dikson,RU,33.24,89,100,19.46,73.5069,80.5464,1626131152
Sabang,ID,82.6,74,93,18.86,5.8933,95.3214,1626131152
Nhamundá,BR,79.05,74,81,2.75,-2.1861,-56.7131,1626131152
Kavaratti,IN,82.54,82,96,22.12,10.5669,72.642,1626131153
Tupelo,US,83.98,77,1,5.01,34.2576,-88.7034,1626131153
Alugan,PH,82.89,78,99,2.53,12.2188,125.4808,1626131153
Renukoot,IN,80.01,75,4,2.86,24.2,83.0333,1626131154
Port Elizabeth,ZA,51.1,66,100,30.67,-33.918,25.5701,1626131154
Dauriya,RU,67.82,90,100,4.83,49.9333,116.8667,1626131154
Dekar,BW,52.92,35,0,10.13,-21.5333,21.9333,1626131155
Skibbereen,IE,58.8,92,54,6.35,51.55,-9.2667,1626131155
Acobamba,PE,53.15,86,97,5.3,-11.3525,-75.6594,1626131155
Boguchany,RU,62.64,71,25,1.92,58.3814,97.4531,1626131156
Saint-Joseph,RE,68.38,76,21,13.94,-21.3667,55.6167,1626131156
Albany,US,71.55,95,99,2.71,42.6001,-73.9662,1626131156
Cuamba,MZ,60.35,83,25,3.09,-14.8031,36.5372,1626131156
Longyan,CN,77.47,92,97,2.89,25.1072,117.0225,1626131157
Tiksi,RU,46.15,67,43,7.94,71.6872,128.8694,1626131157
Nanortalik,GL,39.54,91,68,10.65,60.1432,-45.2371,1626131157
Filingué,NE,88.9,43,85,8.14,14.3521,3.3168,1626131158
Marsá Maţrūḩ,EG,77.32,68,0,5.46,31.3525,27.2453,1626131036
Ust'-Ilimsk,RU,64.74,58,10,2.84,58.0006,102.6619,1626131158
Hay River,CA,70.99,36,6,0.45,60.8156,-115.7999,1626131158
Kaitangata,NZ,48.92,74,99,5.39,-46.2817,169.8464,1626131156
Pierre,US,97.99,29,1,13.8,44.3683,-100.351,1626131159
Thompson,CA,64.56,72,90,9.22,55.7435,-97.8558,1626131159
Nikolskoye,RU,64.4,62,2,2.73,59.7035,30.7861,1626131136
Shache,CN,75.69,43,66,5.12,38.4167,77.2406,1626131160
Orangeburg,US,89.89,81,93,9.93,33.4918,-80.8557,1626131160
Boda,CF,68.59,95,100,3.65,4.3189,17.4695,1626131160
Bilibino,RU,77.11,39,29,8.3,68.0546,166.4372,1626131160
Chokurdakh,RU,47.17,41,100,9.82,70.6333,147.9167,1626131161
Adrar,MR,93.09,26,65,6.73,20.5022,-10.0711,1626131161
Srednekolymsk,RU,41.29,86,100,8.57,67.45,153.6833,1626131161
San Francisco,US,89.1,79,20,5.01,37.7749,-122.4194,1626131019
Flinders,AU,60.39,74,3,4.99,-34.5833,150.8552,1626131162
San Juan,AR,59.76,35,13,11.05,-31.5375,-68.5364,1626131162
Walvis Bay,NA,55.09,73,0,14.74,-22.9575,14.5053,1626131163
Bethel,US,76.28,88,90,3.0,41.3712,-73.414,1626131145
Yulara,AU,51.64,58,97,0.0,-25.2406,130.9889,1626131163
Hofn,IS,53.26,96,100,12.08,64.2539,-15.2082,1626131163
Turukhansk,RU,42.73,67,49,8.46,65.8167,87.9833,1626131164
Bazaliia,UA,61.75,91,67,4.76,49.7127,26.4733,1626131164
Ixtapa,MX,88.83,62,75,12.66,20.7,-105.2,1626131164
Dhupgāri,IN,80.13,84,91,1.92,26.5858,89.0145,1626131165
Almaty,KZ,58.91,72,75,2.24,43.25,76.95,1626131165
Yumen,CN,70.02,44,51,9.06,40.2833,97.2,1626131165
Kuala Terengganu,MY,77.5,86,88,3.71,5.3302,103.1408,1626131166
Port Blair,IN,80.96,81,96,10.38,11.6667,92.75,1626131166
Khonsa,IN,68.05,97,34,4.29,27.0167,95.5667,1626131166
Sur,OM,88.52,63,100,7.74,22.5667,59.5289,1626131167
Kahului,US,86.74,76,80,10.04,20.8947,-156.47,1626130996
Aykhal,RU,59.56,77,98,7.25,66.0,111.5,1626131167
Murgab,TM,79.18,22,0,5.79,37.4966,61.9714,1626131167
Grindavik,IS,50.56,87,75,10.36,63.8424,-22.4338,1626131168
Ust-Nera,RU,56.3,68,94,4.25,64.5667,143.2,1626131168
Indore,IN,79.99,73,48,7.99,22.7179,75.8333,1626131168
Huilong,CN,82.98,88,100,11.72,31.8111,121.655,1626131169
Polysayevo,RU,59.41,94,99,3.8,54.6012,86.2459,1626131169
St. George's,GD,82.08,83,20,11.5,12.0564,-61.7485,1626131169
Kuloy,RU,62.74,94,18,3.09,61.0305,42.4925,1626131170
Hithadhoo,MV,81.37,75,100,3.96,-0.6,73.0833,1626131152
Qaanaaq,GL,42.82,65,80,7.96,77.484,-69.3632,1626131170
Province of Mantua,IT,78.04,74,64,5.01,45.1667,10.7833,1626131170
Oxapampa,PE,59.0,97,75,0.78,-10.5775,-75.4017,1626131171
Tsaratanana,MG,63.68,70,2,10.54,-16.7833,47.65,1626131171
Fort Nelson,CA,76.44,36,100,5.95,58.8053,-122.7002,1626131171
Erenhot,CN,72.7,65,93,6.6,43.6475,111.9767,1626131172
Necoclí,CO,81.12,86,89,6.15,8.4234,-76.786,1626131172
Lata,PT,58.82,95,9,5.19,40.1629,-8.3327,1626131172
Chui,UY,59.13,88,99,6.44,-33.6971,-53.4616,1626131172
Mandeville,JM,78.85,64,61,8.86,18.0417,-77.5071,1626131173
Cap Malheureux,MU,67.46,70,0,5.01,-19.9842,57.6142,1626131173
Khirkiya,IN,81.52,71,0,5.1,22.1674,76.8605,1626131173
Hong Kong,HK,87.33,82,100,1.01,22.2855,114.1577,1626131160
Pisco,PE,64.45,82,0,12.66,-13.7,-76.2167,1626131174
Ayan,RU,57.74,88,100,5.5,56.45,138.1667,1626131174
Half Moon Bay,US,88.97,70,20,10.36,37.4636,-122.4286,1626130921
Mīnāb,IR,88.57,71,78,3.4,27.1467,57.0801,1626131174
Zhigansk,RU,57.2,73,100,6.69,66.7697,123.3711,1626131153
Tabuk,PH,79.68,79,96,3.74,17.4189,121.4443,1626131175
San Isidro,PE,67.01,86,90,8.05,-12.1167,-77.05,1626131175
Saiha,IN,72.61,99,100,0.63,22.4833,92.9667,1626131175
Capreol,CA,81.55,50,97,4.59,46.706,-80.9225,1626130877
Vulcan,RO,62.53,71,15,2.64,45.3833,23.2667,1626131176
Farafangana,MG,68.43,87,77,6.96,-22.8167,47.8333,1626130934
Bhāndāria,BD,81.18,84,100,9.33,22.4861,90.0609,1626131176
Port Macquarie,AU,55.89,76,7,5.26,-31.4333,152.9167,1626131176
Bārdoli,IN,79.81,93,88,6.29,21.1167,73.1167,1626131177
Nome,US,63.16,77,1,11.5,64.5011,-165.4064,1626131177
Vila Velha,BR,67.95,94,20,3.44,-20.3297,-40.2925,1626131079
Butajīra,ET,57.49,89,87,3.18,8.1167,38.3667,1626131178
Samaná,DO,78.76,84,100,9.91,19.2056,-69.3369,1626131178
Pangnirtung,CA,46.26,91,100,4.27,66.1451,-65.7125,1626131178
Eureka,US,67.12,79,42,5.01,40.8021,-124.1637,1626131132
Rizhao,CN,76.44,95,100,12.41,35.4275,119.4553,1626131110
Las Vegas,US,115.2,16,1,11.5,36.175,-115.1372,1626130938
Faanui,PF,79.66,74,3,20.38,-16.4833,-151.75,1626131179
Havelock,US,84.97,84,88,7.0,34.8791,-76.9013,1626131180
Alihe,CN,70.11,98,100,2.57,50.5667,123.7167,1626131180
Sinjai,ID,77.41,87,98,0.56,-5.1241,120.253,1626131181
Thinadhoo,MV,81.57,75,90,5.39,0.5333,72.9333,1626131181
Lunglei,IN,69.24,99,100,1.57,22.8833,92.7333,1626131181
Tunapuna,TT,81.99,81,63,7.87,10.6333,-61.3833,1626130965
São João da Barra,BR,69.82,86,0,7.43,-21.6403,-41.0511,1626131100
Los Llanos de Aridane,ES,71.35,78,0,13.8,28.6585,-17.9182,1626131182
Lixouri,GR,76.24,72,0,4.92,38.2019,20.4314,1626131182
Fălcoiu,RO,73.99,59,0,3.98,44.2333,24.3667,1626131183
Fortuna,US,90.19,88,90,11.5,40.5982,-124.1573,1626131153
Sānchor,IN,85.93,70,100,8.97,24.7553,71.7722,1626131183
Talnakh,RU,37.0,86,100,7.58,69.4865,88.3972,1626131183
High Level,CA,77.47,27,70,7.25,58.5169,-117.136,1626131184
Cherskiy,RU,49.93,65,97,9.53,68.75,161.3,1626131141
Jasper,US,77.54,71,90,1.99,37.2001,-94.3502,1626131184
Angoram,PG,78.89,87,89,3.76,-4.0625,144.0661,1626131184
Olinda,BR,74.93,73,40,9.22,-8.0089,-34.8553,1626131185
Haines Junction,CA,54.05,74,100,5.03,60.7522,-137.5108,1626131185
Kupang,ID,72.18,88,20,5.75,-10.1667,123.5833,1626131185
São Filipe,CV,73.13,80,100,4.5,14.8961,-24.4956,1626131186
Fukuechō,JP,79.92,90,89,8.72,32.6881,128.8419,1626131186
Saint Simons,US,86.31,72,20,13.8,31.1352,-81.3901,1626131186
Avilés,ES,61.99,76,40,8.01,43.5547,-5.9248,1626131186
Ladário,BR,75.94,34,15,2.33,-19.0047,-57.6017,1626131187
Petropavlovsk-Kamchatskiy,RU,70.39,68,0,4.47,53.0452,158.6483,1626131187
Söderhamn,SE,59.04,77,98,2.24,61.3037,17.0592,1626131187
Luganville,VU,79.65,80,53,5.86,-15.5333,167.1667,1626131188
Banda Aceh,ID,79.36,76,93,12.71,5.5577,95.3222,1626131060
Piaçabuçu,BR,73.8,85,55,7.94,-10.4056,-36.4344,1626131070
Bintulu,MY,75.92,93,61,4.68,3.1667,113.0333,1626131188
Sørland,NO,56.7,93,96,17.13,67.667,12.6934,1626131188
Contamana,PE,74.59,93,54,1.99,-7.3333,-75.0167,1626131189
Luanda,AO,68.68,91,99,10.74,-8.8368,13.2343,1626130927
Slave Lake,CA,76.42,33,29,6.4,55.2834,-114.769,1626131189
Stromness,GB,55.65,91,87,2.91,58.965,-3.296,1626131189
Cairns,AU,75.11,78,40,8.05,-16.9167,145.7667,1626131165
Brae,GB,57.11,94,84,4.07,60.3964,-1.353,1626130990
Rome,US,76.66,84,90,9.22,43.2128,-75.4557,1626130989
Mossamedes,AO,63.37,77,71,3.42,-15.1961,12.1522,1626131190
Viedma,AR,43.97,66,1,3.38,-40.8135,-62.9967,1626131190
Springbok,ZA,37.72,93,52,14.47,-29.6643,17.8865,1626130936
Uíge,AO,63.5,39,100,4.18,-7.6087,15.0613,1626131190
Verkhnyaya Inta,RU,39.92,77,76,3.62,65.9811,60.3094,1626131191
Emerald,AU,58.33,69,5,6.89,-23.5333,148.1667,1626131191
Xining,CN,56.17,63,23,2.91,36.6167,101.7667,1626131191
Baykit,RU,52.77,82,62,1.39,61.67,96.37,1626131192
Batemans Bay,AU,53.2,68,24,5.53,-35.7167,150.1833,1626131192
Bandarbeyla,SO,77.77,79,100,30.24,9.4942,50.8122,1626131192
Serampore,IN,82.33,89,75,3.44,22.7528,88.3422,1626131193
Beisfjord,NO,61.05,77,43,6.73,68.3751,17.5988,1626131193
Isangel,VU,71.91,89,100,14.61,-19.55,169.2667,1626131193
Rosario,AR,67.95,78,0,1.01,-32.9468,-60.6393,1626131194
Yeppoon,AU,62.38,84,51,11.56,-23.1333,150.7333,1626131194
Myitkyina,MM,74.71,100,94,0.49,25.3833,97.4,1626131194
Mehamn,NO,50.65,94,99,21.74,71.0357,27.8492,1626131194
Saint-Leu,RE,68.86,70,14,4.83,-21.15,55.2833,1626131195
Dutse,NG,76.1,71,83,6.31,11.7594,9.3392,1626131195
Kaputa,ZM,64.6,49,5,0.85,-8.4689,29.6619,1626131195
Vanimo,PG,81.84,77,45,7.31,-2.6741,141.3028,1626131196
Bazarnye Mataki,RU,60.62,80,46,6.22,54.8833,49.9333,1626131196
Saskylakh,RU,59.83,52,96,10.0,71.9167,114.0833,1626131196
Patitiri,GR,78.37,62,0,4.9,39.15,23.8667,1626131196
Rūdbār,AF,89.22,30,3,7.65,30.15,62.6,1626131197
San Miguel de Cozumel,MX,87.12,76,40,5.99,20.5083,-86.9458,1626131197
Petropavlovka,RU,60.17,79,98,3.56,50.6114,105.3196,1626131197
Teahupoo,PF,80.56,78,27,18.68,-17.8333,-149.2667,1626131197
Camacha,PT,66.96,77,40,18.41,33.0833,-16.3333,1626131198
Qinzhou,CN,83.37,78,79,8.05,21.95,108.6167,1626131198
Constitución,CL,50.49,83,48,4.07,-35.3333,-72.4167,1626131176
Safi,MA,69.57,72,93,20.2,32.2994,-9.2372,1626131199
Bull Savanna,JM,82.36,65,46,18.23,17.8868,-77.5902,1626131199
Ilulissat,GL,53.62,47,19,8.05,69.2167,-51.1,1626131199
Kattivākkam,IN,84.29,70,100,10.0,13.2167,80.3167,1626131200
Moranbah,AU,60.89,77,8,13.53,-22.0016,148.0466,1626131200
Waingapu,ID,73.15,81,11,7.7,-9.6567,120.2641,1626131200
Dakar,SN,79.68,84,74,11.83,14.6937,-17.4441,1626131034
Mt. Pleasant,US,86.14,78,40,1.99,32.7941,-79.8626,1626131201
Kruisfontein,ZA,48.88,61,99,28.97,-34.0033,24.7314,1626131201
Puerto Escondido,MX,85.03,61,40,0.0,15.85,-97.0667,1626131163
Taltal,CL,58.35,86,90,3.94,-25.4,-70.4833,1626131201
Lüderitz,NA,53.29,76,19,10.33,-26.6481,15.1594,1626131202
Saint-Pierre,RE,69.48,73,0,9.22,-21.3393,55.4781,1626131202
Conde,BR,72.86,94,0,4.61,-7.2597,-34.9075,1626131202
Palmer,US,70.52,82,90,5.75,42.1584,-72.3287,1626131191
Oktyabr'skoye,RU,62.74,88,90,4.47,43.0645,44.7417,1626131203
Dixon,US,103.19,33,1,6.91,38.4455,-121.8233,1626131203
Narsaq,GL,48.42,87,100,4.92,60.9167,-46.05,1626130991
Ribeira Grande,PT,68.74,73,39,8.3,38.5167,-28.7,1626131203
Karla,EE,66.16,83,0,2.3,59.3723,24.9275,1626131204
Longyearbyen,SJ,42.64,87,75,3.44,78.2186,15.6401,1626131204
Faya,SA,66.72,36,100,4.56,18.3851,42.4509,1626131204
Burla,IN,78.03,85,100,5.46,21.5,83.8667,1626131205
Artvin Province,TR,67.28,94,69,1.92,41.1667,41.8333,1626131205
Tornabé,HN,86.25,84,75,9.22,15.75,-87.55,1626131205
Cortez,US,92.16,20,1,10.36,37.3489,-108.5859,1626131013
Porterville,US,112.68,11,0,9.22,36.0652,-119.0168,1626131206
Beloha,MG,64.26,71,0,6.93,-25.1667,45.05,1626131206
Puerto Madryn,AR,50.04,45,0,8.66,-42.7692,-65.0385,1626131206
Port Moresby,PG,79.88,77,52,4.41,-9.4431,147.1797,1626131207
Touros,BR,76.1,80,55,14.61,-5.1989,-35.4608,1626131207
Fairbanks,US,79.02,30,1,0.0,64.8378,-147.7164,1626131190
Llandrindod Wells,GB,61.0,96,87,2.89,52.2416,-3.3787,1626131207
Kiryat Gat,IL,81.39,100,0,3.15,31.61,34.7642,1626131208
Mitsamiouli,KM,76.75,74,8,6.38,-11.3847,43.2844,1626131208
Miramar,US,84.97,84,75,6.91,25.9873,-80.2323,1626131208
Burgeo,CA,58.5,69,0,16.42,47.6167,-57.6152,1626131209
Conceição do Araguaia,BR,81.36,40,48,0.87,-8.2578,-49.2647,1626131209
Cabo San Lucas,MX,91.18,48,20,14.97,22.8909,-109.9124,1626131002
Iqaluit,CA,45.7,87,100,5.99,63.7506,-68.5145,1626131209
Marawi,PH,69.66,89,82,2.66,7.9986,124.2928,1626131151
Bonavista,CA,56.12,95,86,27.34,48.6499,-53.1147,1626131210
Hare Bay,CA,49.35,95,98,17.49,48.8499,-54.0148,1626131210
Vero Beach,US,81.07,78,75,5.75,27.6386,-80.3973,1626131062
Goianésia,BR,69.85,34,0,1.39,-15.3175,-49.1175,1626131210
Bengkulu,ID,74.17,88,80,3.62,-3.8004,102.2655,1626131211
Magole,TZ,64.99,81,50,2.26,-6.3667,37.3667,1626131211
Yinchuan,CN,80.44,34,0,7.16,38.4681,106.2731,1626131211
Klyuchi,RU,67.23,62,100,7.16,52.2667,79.1667,1626131212
Valparaíso,CL,54.52,79,75,4.61,-33.0393,-71.6273,1626131212
Juegang,CN,81.66,86,100,8.43,32.3174,121.1855,1626131212
Ignacio Zaragoza,MX,74.75,48,99,13.42,28.3833,-107.2167,1626131212
Harper,LR,76.53,78,77,10.71,4.375,-7.7169,1626131213
Labuhan,ID,75.83,87,36,9.4,-6.8844,112.2051,1626131213
Necochea,AR,43.03,84,100,7.47,-38.5473,-58.7368,1626131213
Havre-St-Pierre,CA,59.45,65,32,20.07,50.2334,-63.5986,1626131141
Presque Isle,US,78.66,44,1,3.44,46.6811,-68.0159,1626131214
Saint George,US,110.39,15,1,1.99,37.1041,-113.5841,1626131103
Jalu,LY,88.79,24,1,6.46,29.0331,21.5482,1626131214
Warmbad,NA,42.22,85,65,12.97,-28.45,18.7333,1626131214
